latitude,longitude,crime_type,date,description,no. of cases,crime_type_encoded,severity_score,weighted_cases,is_safe
19.076,72.8777,Harassment,2024-01-15,Verbal harassment near shopping complex,75,3,0.6,45.0,"(19.076, 72.8777)"
19.0833,72.8787,Stalking,2024-01-18,Repeated stalking incident near residential area,120,4,0.7,84.0,"(19.0833, 72.8787)"
19.069,72.8767,Domestic Violence,2024-01-20,Domestic violence case in apartment complex,200,1,0.8,160.0,"(19.069, 72.8767)"
19.0775,72.8822,Eve Teasing,2024-01-25,Eve teasing incident near bus stop,45,2,0.5,22.5,"(19.0775, 72.8822)"
19.073,72.8745,Workplace Harassment,2024-02-01,Workplace harassment reported in office building,90,5,0.4,36.0,"(19.073, 72.8745)"
19.0867,72.8797,Assault,2024-02-05,Physical assault in parking lot,150,0,0.9,135.0,"(19.0867, 72.8797)"
19.0665,72.8735,Domestic Violence,2024-02-10,Domestic violence in residential area,250,1,0.8,200.0,"(19.0665, 72.8735)"
19.08,72.8853,Harassment,2024-02-15,Harassment incident near metro station,60,3,0.6,36.0,"(19.08, 72.8853)"
19.071,72.8715,Stalking,2024-02-20,Stalking case reported in park area,35,4,0.7,24.5,"(19.071, 72.8715)"
19.0835,72.8829,Eve Teasing,2024-02-25,Eve teasing incident near college campus,110,2,0.5,55.0,"(19.0835, 72.8829)"
19.064,72.8703,Workplace Harassment,2024-03-01,Harassment at local market,20,5,0.4,8.0,"(19.064, 72.8703)"
19.0755,72.8808,Assault,2024-03-05,Assault near train station,180,0,0.9,162.0,"(19.0755, 72.8808)"
19.0703,72.8749,Domestic Violence,2024-03-10,Domestic violence case in housing colony,300,1,0.8,240.0,"(19.0703, 72.8749)"
19.0782,72.8812,Eve Teasing,2024-03-15,Eve teasing near mall,40,2,0.5,20.0,"(19.0782, 72.8812)"
19.0855,72.8799,Harassment,2024-03-20,Workplace harassment in corporate office,85,3,0.6,51.0,"(19.0855, 72.8799)"
19.0652,72.8722,Stalking,2024-03-25,Physical assault at public square,70,4,0.7,49.0,"(19.0652, 72.8722)"
19.0728,72.8785,Workplace Harassment,2024-04-01,Domestic dispute near police station,15,5,0.4,6.0,"(19.0728, 72.8785)"
19.0695,72.8747,Assault,2024-04-05,Stalking reported at community center,95,0,0.9,85.5,"(19.0695, 72.8747)"
19.0812,72.8793,Domestic Violence,2024-04-10,Verbal harassment at bus terminal,225,1,0.8,180.0,"(19.0812, 72.8793)"
19.0675,72.8755,Eve Teasing,2024-04-15,Domestic violence in apartment block,50,2,0.5,25.0,"(19.0675, 72.8755)"
19.079,72.876,Harassment,2024-04-20,Harassment near hospital,30,3,0.6,18.0,"(19.079, 72.876)"
19.0632,72.8711,Stalking,2024-04-25,Repeated stalking at public park,65,4,0.7,45.5,"(19.0632, 72.8711)"
19.0823,72.8837,Domestic Violence,2024-05-01,Domestic violence in residential tower,190,1,0.8,152.0,"(19.0823, 72.8837)"
19.0744,72.8779,Eve Teasing,2024-05-05,Eve teasing in cinema complex,80,2,0.5,40.0,"(19.0744, 72.8779)"
19.0687,72.8728,Workplace Harassment,2024-05-10,Workplace harassment in IT park,100,5,0.4,40.0,"(19.0687, 72.8728)"
19.083,72.878,Assault,2024-05-15,Physical assault in open ground,40,0,0.9,36.0,"(19.083, 72.878)"
19.072,72.8758,Domestic Violence,2024-05-20,Domestic violence in gated community,130,1,0.8,104.0,"(19.072, 72.8758)"
19.0669,72.8707,Harassment,2024-05-25,Harassment near educational institution,25,3,0.6,15.0,"(19.0669, 72.8707)"
19.0805,72.8815,Stalking,2024-06-01,Stalking reported at lakefront,55,4,0.7,38.5,"(19.0805, 72.8815)"
19.0715,72.8733,Eve Teasing,2024-06-05,Eve teasing near shopping plaza,95,2,0.5,47.5,"(19.0715, 72.8733)"
